1470070683 INTERNAL *** MONITORD_STARTED ***
1470070679 INTERNAL *** DAGMAN_STARTED 170525.0 ***
1470070683 create_dir_advanced_bioconductor_workflow_0_local SUBMIT 170526.0 local - 1
1470070688 create_dir_advanced_bioconductor_workflow_0_local EXECUTE 170526.0 local - 1
1470070688 create_dir_advanced_bioconductor_workflow_0_local JOB_TERMINATED 170526.0 local - 1
1470070688 create_dir_advanced_bioconductor_workflow_0_local JOB_SUCCESS 0 local - 1
1470070688 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_STARTED 170526.0 local - 1
1470070693 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_TERMINATED 170526.0 local - 1
1470070693 create_dir_advanced_bioconductor_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1470070699 stage_in_remote_local_0_1 SUBMIT 170527.0 local - 2
1470070699 stage_in_remote_local_0_1 EXECUTE 170527.0 local - 2
1470070699 stage_in_remote_local_0_0 SUBMIT 170528.0 local - 3
1470070699 stage_in_remote_local_8_0 SUBMIT 170529.0 local - 4
1470070699 stage_in_remote_local_7_0 SUBMIT 170530.0 local - 5
1470070704 stage_in_remote_local_0_1 JOB_TERMINATED 170527.0 local - 2
1470070704 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 2
1470070704 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 170527.0 local - 2
1470070704 stage_in_remote_local_0_0 EXECUTE 170528.0 local - 3
1470070704 stage_in_remote_local_7_0 EXECUTE 170530.0 local - 5
1470070704 stage_in_remote_local_8_0 EXECUTE 170529.0 local - 4
1470070709 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 170527.0 local - 2
1470070709 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 2
1470070709 stage_in_remote_local_7_0 JOB_TERMINATED 170530.0 local - 5
1470070709 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 5
1470070709 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 170530.0 local - 5
1470070709 stage_in_remote_local_8_0 JOB_TERMINATED 170529.0 local - 4
1470070709 stage_in_remote_local_8_0 JOB_SUCCESS 0 local - 4
1470070709 stage_in_remote_local_8_0 POST_SCRIPT_STARTED 170529.0 local - 4
1470070709 stage_in_remote_local_0_0 JOB_TERMINATED 170528.0 local - 3
1470070709 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 3
1470070709 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 170528.0 local - 3
1470070714 stage_in_remote_local_7_0 POST_SCRIPT_TERMINATED 170530.0 local - 5
1470070714 stage_in_remote_local_7_0 POST_SCRIPT_SUCCESS 0 local - 5
1470070714 stage_in_remote_local_8_0 POST_SCRIPT_TERMINATED 170529.0 local - 4
1470070714 stage_in_remote_local_8_0 POST_SCRIPT_SUCCESS 0 local - 4
1470070714 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 170528.0 local - 3
